mp-id,Formula,Space Group,Stable,Energy Above Hull (eV/atom),Experimentally Observed,Predicted Tc (K),Predicted Tc Std. Dev. (K),Closest Known Superconductor,Closest Superconductor Distance,Log Probability of Superconductivity
mp-616512,Y3Co2,"['Pnnm', 'Orthorhombic']",False,0.0108304334999989,True,1.6516015529632568,0.6180066466331482,Y4Co3,0.0571428571428571,-9.91772103589028e-05
mp-1627,Mo2S3,"['P2_1/m', 'Monoclinic']",False,0.0955407129999974,True,3.010816812515259,1.6197763681411743,Mo3S4,0.0571428571428571,-0.0001060906433849
mp-25228,KMnO2,"['C2/m', 'Monoclinic']",False,0.3384169372916679,False,14.319385528564451,0.5641337037086487,KMnO4,0.3333333333333333,-0.0001100241206586
mp-1219517,ReMo3,"['R-3m', 'Trigonal']",False,0.3125696856250002,False,7.998205184936523,1.0533188581466677,Mo60Re40,0.3,-0.0001268306368729
mp-1190178,YNiB4,"['I4/mmm', 'Tetragonal']",True,0.0,True,6.990784645080566,1.2329810857772827,YB6,0.3809523809523809,-0.0001323135511483
mp-568912,Be12Nb,"['I4/mmm', 'Tetragonal']",True,0.0,True,1.564811110496521,0.7559865117073059,Be17Nb2,0.0566801619433198,-0.0001386307994835
mp-752668,Li2Mn3O6,"['Cc', 'Monoclinic']",False,0.0687629431818122,False,32.99638366699219,1.377599835395813,O7,0.9090909090909092,-0.0001565095444675
mp-851357,Fe2S,"['Cm', 'Monoclinic']",False,0.327644877380953,False,24.94676971435547,9.300141334533691,Fe2S2,0.3333333333333333,-0.0001588933519087
mp-1094130,LiNO3,"['R-3m', 'Trigonal']",False,2.160649706,True,9.038217544555664,1.810973048210144,O2,0.8,-0.0001623498683329
mp-1200868,La4P9Rh8,"['Cmcm', 'Orthorhombic']",True,0.0,True,2.1354010105133057,1.0699692964553833,LaRhP,0.2857142857142857,-0.0001886905083665
mp-1004526,WS,"['P6_3mc', 'Hexagonal']",False,0.4312107525000037,False,4.699164867401123,0.5027661919593811,WS2,0.3333333333333333,-0.0001902399235405
mp-771777,Li4Mn3O8,"['R-3m', 'Trigonal']",False,0.0385434173333303,False,36.100616455078125,4.435063362121582,O7,0.9333333333333332,-0.0002078793913824
mp-1099683,Na2Cr2O5,"['Ima2', 'Orthorhombic']",False,0.187158210185184,False,31.97811508178711,0.335789680480957,CrO2,0.4444444444444443,-0.0002442300028633
mp-770866,LiMn5O8,"['P4_332', 'Cubic']",False,0.038091442142857,False,45.917457580566406,1.7612073421478271,O7,0.8571428571428572,-0.0002495931112207
mp-1191960,Zr2Pt,"['Fd-3m', 'Cubic']",False,0.0177620566666654,True,3.4622063636779785,0.317575991153717,Zr5Pt3,0.0833333333333333,-0.0002518575056456
mp-757975,LiMn2O4,"['C2/c', 'Monoclinic']",False,0.04951280357142,False,35.74549865722656,2.3095974922180176,O7,0.8571428571428572,-0.0002522150462027
mp-1221697,Mn3Si,"['P4/mmm', 'Tetragonal']",False,0.1063708074999993,False,17.11526870727539,8.17455005645752,Mn2,0.5,-0.0002613918040879
mp-768808,Li4AlCr3O8,"['P-1', 'Triclinic']",False,0.0130323864062429,False,23.14364051818848,0.9531384706497192,CrO2,0.625,-0.0002787916746456
mp-1185814,Mg5Hg,"['P-62m', 'Hexagonal']",False,0.0398184432191781,False,3.350602865219116,1.847678303718567,HgMg3,0.1666666666666667,-0.0002801025984808
mp-768309,Ce2TiO5,"['Pnma', 'Orthorhombic']",True,0.0,False,12.598825454711914,2.116358757019043,CeO2,0.2499999999999999,-0.000306201778585
mp-1080026,Ce(SnPd)2,"['P4/nmm', 'Tetragonal']",True,0.0,True,3.011789083480835,1.1174722909927368,Pd3Sn2,0.3999999999999999,-0.0003094194398727
mp-1228895,AlGaSb2,"['R3m', 'Trigonal']",False,0.0120063450000005,False,4.156493186950684,0.8393881320953369,AlSb,0.5,-0.0003370670601725
